student_id;attendance_pct;absence_hours;homework_pct;study_hours_per_week;midterm_score;informatique;mathematique;svt;physique;sport;education_islamique;francais;arabe;pass
1;95.0;5;92.0;12;88.0;88.4;82.4;90.5;95.4;78.7;78.2;95.4;94.9;1
2;88.0;27;85.0;10;79.0;96.9;88.2;86.3;93.6;53.2;53.5;84.1;76.2;1
3;60.0;67;55.0;4;58.0;54.0;53.1;79.2;61.0;64.4;31.7;56.0;64.7;0
4;72.0;42;70.0;6;65.0;65.7;57.8;58.8;56.6;97.0;61.7;48.2;74.3;1
5;40.0;103;45.0;3;50.0;53.6;37.8;36.9;53.3;66.3;55.3;50.0;47.0;0
6;85.0;37;90.0;14;90.1;90.1;93.0;100.0;99.3;60.9;100.0;91.2;86.0;1
7;78.0;31;80.0;8;74.0;81.3;77.5;61.8;68.2;77.6;92.5;64.8;68.2;1
8;55.0;108;60.0;5;62.0;45.9;63.6;72.8;57.2;77.9;65.8;49.5;63.3;0
9;90.0;18;88.0;11;83.9;89.2;100.0;60.7;96.9;91.3;83.0;90.7;59.7;1
10;68.0;70;65.0;6;60.0;62.6;69.4;53.4;51.8;49.0;79.2;63.4;51.1;1
11;30.0;140;35.0;2;42.0;47.3;53.2;38.7;43.4;38.5;14.4;50.2;50.3;0
12;82.0;38;78.0;9;75.8;75.1;67.4;72.7;74.2;61.2;73.7;82.5;100.0;1
13;74.0;52;70.0;7;68.0;68.6;65.5;44.9;65.8;67.2;98.0;63.5;70.5;1
14;50.0;126;48.0;4;55.0;41.4;61.1;61.4;60.2;34.9;84.0;34.9;61.9;0
15;92.0;5;95.0;15;92.0;90.9;95.7;100.0;95.2;68.7;100.0;85.9;100.0;1
16;65.0;72;60.0;5;59.0;76.1;55.1;57.1;67.9;36.0;65.6;77.6;36.5;0
17;80.0;32;85.0;10;82.0;83.6;86.5;67.4;69.1;91.4;87.5;84.3;86.2;1
18;45.0;119;50.0;3;52.0;55.5;55.2;45.3;70.0;62.7;27.0;61.7;38.6;0
19;88.0;14;90.0;12;86.0;93.4;76.0;92.4;85.5;95.8;95.8;78.6;70.5;1
20;70.0;92;68.0;7;66.0;54.2;61.8;66.1;64.8;78.9;62.6;81.2;58.4;1
21;58.0;74;55.0;4;57.0;62.1;49.9;44.1;60.2;51.4;71.6;62.0;54.8;0
22;83.0;35;80.0;9;78.0;67.4;79.4;92.0;84.5;57.6;86.3;87.5;69.3;1
23;35.0;136;40.0;2;48.0;46.8;38.2;50.1;51.2;67.9;69.4;28.3;32.1;0
24;76.0;57;72.0;8;70.0;63.7;62.2;88.6;63.7;81.3;79.6;67.1;53.9;1
25;90.0;15;88.0;11;84.2;85.2;90.3;86.6;92.7;100.0;50.8;100.0;67.7;1
26;62.0;69;60.0;5;58.0;69.6;59.2;46.9;52.3;72.3;42.7;61.6;59.4;0
27;48.0;110;45.0;3;50.0;71.6;54.6;27.9;51.8;36.9;68.9;39.9;48.4;0
28;86.0;39;84.0;10;79.8;90.7;73.4;78.1;77.5;68.7;100.0;87.1;62.9;1
29;67.0;55;65.0;6;63.0;79.9;65.9;42.0;54.3;84.0;43.1;64.5;70.3;1
30;52.0;97;50.0;4;54.0;59.8;37.7;49.1;58.1;35.4;96.3;41.8;53.8;0
31;91.0;18;89.0;12;87.0;100.0;77.0;99.8;87.1;67.4;97.2;89.6;78.0;1
32;84.0;39;82.0;9;78.8;77.0;81.4;87.9;94.9;55.9;100.0;55.2;78.3;1
33;59.0;92;57.0;4;56.0;59.7;52.5;54.6;52.5;45.1;75.6;61.5;46.5;0
34;73.0;55;71.0;7;69.0;69.4;72.1;73.3;58.9;55.2;82.8;74.3;66.1;1
35;42.0;131;44.0;3;49.0;54.8;37.9;48.1;40.2;37.7;66.2;52.8;54.3;0
36;87.0;51;90.0;14;92.0;92.3;96.8;88.7;95.0;89.5;94.2;99.8;79.8;1
37;79.0;42;78.0;8;75.0;63.2;64.8;86.0;80.4;85.7;87.1;73.1;59.8;1
38;56.0;90;58.0;5;60.0;56.5;70.1;61.6;55.8;56.8;72.3;55.9;50.9;0
39;89.0;25;87.0;11;83.0;95.0;89.0;87.4;94.7;63.6;61.6;83.2;89.4;1
40;69.0;53;66.0;6;64.0;78.8;70.1;62.3;63.9;44.0;63.7;60.3;68.9;1
41;33.0;135;38.0;2;45.0;46.9;52.4;40.5;45.3;55.5;32.9;44.6;41.9;0
42;81.0;40;79.0;9;77.0;62.2;70.1;75.4;83.0;89.2;93.0;60.0;83.1;1
43;75.0;54;72.0;7;70.0;99.4;71.8;68.3;72.1;35.0;65.9;67.6;79.8;1
44;51.0;93;49.0;4;53.0;67.6;55.5;42.5;40.8;58.7;19.8;72.6;66.5;0
45;93.0;9;94.0;15;93.1;86.6;100.0;100.0;100.0;69.7;88.4;100.0;100.0;1
46;64.0;87;61.0;5;60.0;67.9;54.2;60.1;62.8;72.0;77.3;47.1;38.7;0
47;82.0;34;86.0;10;84.0;79.2;70.7;91.9;77.0;91.9;77.4;91.9;91.9;1
48;46.0;84;52.0;3;54.0;61.6;56.4;66.9;43.2;65.6;75.2;29.0;34.1;0
49;87.0;30;89.0;12;84.4;85.5;92.6;100.0;88.2;100.0;57.2;65.4;86.7;1
