student_id;attendance_pct;absence_hours;homework_pct;study_hours_per_week;midterm_score;informatique;mathematique;svt;physique;sport;education_islamique;francais;arabe;pass
101;50.0;45.0;40.0;2.0;45.0;40.0;35.0;70.0;45.0;85.0;90.0;48.0;75.0;0
asouma_kasoula;70.0;35.0;73.0;2.0;39.0;40.0;35.0;70.0;45.0;85.0;90.0;48.0;75.0;0
asouma_mojtahida;50.0;45.0;40.0;2.0;45.0;40.0;35.0;70.0;45.0;85.0;90.0;48.0;75.0;0
116;79.0;12.0;75.0;6.0;71.0;40.0;35.0;70.0;45.0;85.0;90.0;48.0;75.0;1
etu1;79.0;17.0;77.0;8.0;75.0;77.0;71.0;76.0;73.0;86.0;82.0;73.0;74.0;1
etu2;55.0;40.0;56.0;5.0;58.0;54.0;46.0;60.0;52.0;76.0;65.0;56.0;56.0;0
etu3;91.0;8.0;90.0;12.0;88.0;90.0;84.0;89.0;86.0;93.0;91.0;85.0;87.0;1
etu4;52.0;43.0;50.0;4.0;53.0;51.0;43.0;54.0;47.0;73.0;61.0;52.0;51.0;0
etu8;52.0;43.0;50.0;4.0;53.0;51.0;43.0;54.0;47.0;73.0;61.0;52.0;51.0;0
etu7;91.0;8.0;90.0;12.0;88.0;90.0;84.0;89.0;86.0;93.0;91.0;85.0;87.0;1
etu11;91.0;8.0;90.0;12.0;88.0;90.0;84.0;89.0;86.0;93.0;91.0;85.0;87.0;0
etu12;20.0;10.0;10.0;10.0;10.0;10.0;84.0;89.0;86.0;93.0;91.0;85.0;87.0;0
1055;8.0;45.0;13.0;2.0;18.0;40.0;35.0;70.0;45.0;85.0;90.0;48.0;75.0;0
10;50.0;45.0;40.0;2.0;45.0;40.0;35.0;70.0;45.0;85.0;90.0;48.0;75.0;0
15557;72.0;15.0;78.0;5.0;67.0;40.0;35.0;70.0;45.0;85.0;90.0;48.0;75.0;0
etu5;79.0;17.0;77.0;8.0;75.0;77.0;71.0;76.0;73.0;86.0;82.0;73.0;74.0;0
etu6;55.0;40.0;56.0;5.0;58.0;54.0;46.0;60.0;52.0;76.0;65.0;56.0;56.0;0
etu68;20.0;10.0;10.0;10.0;10.0;10.0;84.0;89.0;86.0;93.0;91.0;85.0;87.0;0
